cross	sample	source_code	run_accession	fastq_ftp_end1	fastq_ftp_end2
3D7xHB3	PG0051-C	3D7_Glasgow	ERR019061	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019061/ERR019061_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019061/ERR019061_2.fastq.gz
3D7xHB3	PG0052-C	HB3_Glasgow	ERR019054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019054/ERR019054_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019054/ERR019054_2.fastq.gz
3D7xHB3	PG0053-C	XP3	ERR019067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019067/ERR019067_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019067/ERR019067_2.fastq.gz
3D7xHB3	PG0054-C	XP4	ERR019062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019062/ERR019062_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019062/ERR019062_2.fastq.gz
3D7xHB3	PG0055-C	XP5	ERR019066	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019066/ERR019066_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019066/ERR019066_2.fastq.gz
3D7xHB3	PG0056-C	XP8	ERR019068	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019068/ERR019068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019068/ERR019068_2.fastq.gz
3D7xHB3	PG0057-C	XP9	ERR019069	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019069/ERR019069_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019069/ERR019069_2.fastq.gz
3D7xHB3	PG0058-C	XP24	ERR019063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019063/ERR019063_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019063/ERR019063_2.fastq.gz
3D7xHB3	PG0060-C	XP52	ERR019058	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019058/ERR019058_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019058/ERR019058_2.fastq.gz
3D7xHB3	PG0061-C	X2	ERR019059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019059/ERR019059_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019059/ERR019059_2.fastq.gz
3D7xHB3	PG0062-C	X4	ERR019070	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019070/ERR019070_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019070/ERR019070_2.fastq.gz
3D7xHB3	PG0063-C	X5	ERR019060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019060/ERR019060_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019060/ERR019060_2.fastq.gz
3D7xHB3	PG0064-C	X6	ERR019071	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019071/ERR019071_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019071/ERR019071_2.fastq.gz
3D7xHB3	PG0065-C	X10	ERR019064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019064/ERR019064_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019064/ERR019064_2.fastq.gz
3D7xHB3	PG0066-C	X11	ERR019072	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019072/ERR019072_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019072/ERR019072_2.fastq.gz
3D7xHB3	PG0067-C	X12	ERR019073	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019073/ERR019073_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019073/ERR019073_2.fastq.gz
3D7xHB3	PG0068-C	X30	ERR019065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019065/ERR019065_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019065/ERR019065_2.fastq.gz
3D7xHB3	PG0069-C	X33	ERR019055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019055/ERR019055_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019055/ERR019055_2.fastq.gz
3D7xHB3	PG0070-C	X35	ERR019056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019056/ERR019056_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019056/ERR019056_2.fastq.gz
3D7xHB3	PG0071-C	X39	ERR019074	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019074/ERR019074_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019074/ERR019074_2.fastq.gz
HB3xDD2	PG0004-CW	HB3_Ferdig	ERR012788	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012788/ERR012788_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012788/ERR012788_2.fastq.gz
HB3xDD2	PG0008-CW	DD2_Ferdig	ERR012840	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012840/ERR012840_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012840/ERR012840_2.fastq.gz
HB3xDD2	PG0015-C	B1SD	ERR019044	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019044/ERR019044_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019044/ERR019044_2.fastq.gz
HB3xDD2	PG0016-C	QC13	ERR012895	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012895/ERR012895_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012895/ERR012895_2.fastq.gz
